word, synset, definition
filth, dirt.n.02, the state of being covered with unclean things
usage, use.n.01, the act of using
allah, allah.n.01, Muslim name for the one and only God
friday, friday.n.01, the sixth day of the week; the fifth working day
function, function.n.03, the actions and activities assigned to or required or expected of a person or group
inpatient, inpatient.n.01, a patient who is residing in the hospital where he is being treated
affidavit, affidavit.n.01, written declaration made under oath; a written statement sworn to be true before someone legally authorized to administer an oath
terrorism, terrorism.n.01, the calculated use of violence (or the threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature; this is done through intimidation or coercion or instilling fear
aunt, aunt.n.01, the sister of your father or mother; the wife of your uncle
subordinate, subordinate.n.01, an assistant subject to the authority or control of another
ada, adenosine_deaminase.n.01, an enzyme found in mammals that can catalyze the deamination of adenosine into inosine and ammonia
urge, urge.n.01, an instinctive motive
ante, ante.n.01, (poker) the initial contribution that each player makes to the pot
proxy, proxy.n.01, a person authorized to act for another
doom, doom.n.01, an unpleasant or disastrous destiny
sydney, sydney.n.01, the largest Australian city located in southeastern Australia on the Tasman Sea; state capital of New South Wales; Australia's chief port
combo, jazz_band.n.01, a small band of jazz musicians
repeat, repeat.n.01, an event that repeats
fulfillment, fulfillment.n.01, a feeling of satisfaction at having achieved your desires
outline, outline.n.03, a schematic or preliminary plan
closing, conclusion.n.08, the last section of a communication
millennium, millennium.n.01, a span of 1000 years
complement, complement.n.04, something added to complete or embellish or make perfect
manager, director.n.01, someone who controls resources and expenditures
disclaimer, disavowal.n.01, denial of any connection with or knowledge of
veto, veto.n.01, a vote that blocks a decision
paragon, ideal.n.02, model of excellence or perfection of a kind; one having no equal
insight, penetration.n.02, clear or deep perception of a situation
largo, largo.n.01, (music) a composition or passage that is to be performed in a slow and dignified manner
america, united_states.n.01, North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
suspense, suspense.n.01, apprehension about what is going to happen
bartlett, bartlett.n.01, United States explorer who accompanied Peary's expedition to the North Pole and who led many other Arctic trips (1875-1946)
sunshine, sunlight.n.01, the rays of the sun
misconduct, wrongdoing.n.02, activity that transgresses moral or civil law
hamilton, hamilton.n.01, Irish mathematician (1806-1865)
prosperity, prosperity.n.02, the condition of prospering; having good fortune
sense, sense.n.03, the faculty through which the external world is apprehended
detection, detection.n.02, the act of detecting something; catching sight of something
markup, markup.n.01, the amount added to the cost to determine the asking price
jury, jury.n.02, a committee appointed to judge a competition
translator, interpreter.n.01, someone who mediates between speakers of different languages
empowerment, authorization.n.04, the act of conferring legality or sanction or formal warrant
reply, answer.n.01, a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
operative, private_detective.n.01, someone who can be employed as a detective to collect information
spank, spank.n.01, a slap with the flat of the hand
perspective, position.n.03, a way of regarding situations or topics etc.
smiley, smiley.n.01, an emoticon of a smiling face
houston, houston.n.01, the largest city in Texas; located in southeastern Texas near the Gulf of Mexico; site of the National Aeronautics and Space Administration
partner, spouse.n.01, a person's partner in marriage
spacing, spacing.n.01, the time between occurrences of a repeating event
applause, applause.n.01, a demonstration of approval by clapping the hands together
parody, parody.n.01, a composition that imitates or misrepresents somebody's style, usually in a humorous way
drag, puff.n.07, a slow inhalation (as of tobacco smoke)
term, condition.n.07, (usually plural) a statement of what is required as part of an agreement
orientation, predilection.n.01, a predisposition in favor of something
robert, robert.n.01, United States parliamentary authority and author (in 1876) of Robert's Rules of Order (1837-1923)
motive, motivation.n.01, the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
rosa, rosa.n.01, large genus of erect or climbing prickly shrubs including roses
aftermath, aftermath.n.01, the consequences of an event (especially a catastrophic event)
complication, complication.n.04, a development that complicates a situation
gemini, gemini.n.01, (astrology) a person who is born while the sun is in Gemini
buchanan, buchanan.n.01, 15th President of the United States (1791-1868)
flair, dash.n.01, distinctive and stylish elegance
wait, delay.n.01, time during which some action is awaited
fbi, federal_bureau_of_investigation.n.01, a federal law enforcement agency that is the principal investigative arm of the Department of Justice
intern, intern.n.01, an advanced student or graduate in medicine gaining supervised practical experience (`houseman' is a British term)
chang, chang_jiang.n.01, the longest river of Asia; flows eastward from Tibet into the East China Sea near Shanghai
diversion, diversion.n.01, an activity that diverts or amuses or stimulates
orion, orion.n.02, a constellation on the equator to the east of Taurus; contains Betelgeuse and Rigel
aesthetic, aesthetic.n.01, (philosophy) a philosophical theory as to what is beautiful
morton, morton.n.01, United States jazz musician who moved from ragtime to New Orleans jazz (1885-1941)
magnitude, magnitude.n.01, the property of relative size or extent (whether large or small)
